Arsenal
Eddie Nketiah;5;30;70;50;70;75;70;20;5;15;5;10;5;15;20;45;60;50;35;85;70;55;75;55;45;60;85;80;70;65;70;65;70;25;40;10;
Alexandre Lacazette;5;9;70;70;60;75;75;35;5;5;15;10;15;25;25;70;65;70;55;70;75;60;85;65;65;75;70;80;70;75;75;75;85;55;65;25;
Joe Willock;3;28;70;60;65;70;70;45;5;20;15;15;15;35;50;45;35;50;55;75;65;70;70;70;55;60;85;85;75;75;50;70;65;50;45;35;
MesutÖzil;3;10;85;55;40;60;95;30;10;5;10;5;5;30;35;45;35;35;70;60;60;90;90;90;55;85;65;75;80;90;55;95;50;60;50;60;
Thomas Partey;3;18;75;70;75;90;65;70;10;15;10;5;10;65;70;75;75;70;50;75;80;75;65;65;70;75;65;65;55;55;55;70;85;45;40;40;
Gabriel;1;6;75;70;70;75;60;70;5;10;5;10;10;75;70;80;75;65;35;75;75;65;45;60;30;75;65;65;45;40;30;60;70;25;35;25;
Rob Holding;1;16;70;70;70;80;60;70;15;15;10;10;5;75;75;65;70;75;30;75;75;60;25;60;25;70;65;65;50;50;25;65;75;30;25;10;
Pablo Marí;1;22;70;70;60;70;65;70;10;15;10;5;10;70;75;70;80;75;25;70;70;75;35;70;40;65;60;60;35;35;35;65;70;20;35;35;
Ainsley Maitland-Niles;2;15;65;50;55;70;70;55;10;5;10;5;5;50;60;55;30;55;55;75;70;65;65;60;50;60;85;75;65;70;40;70;60;40;65;50;
Mohamed Elneny;3;25;75;70;70;80;70;65;15;15;15;15;15;65;75;75;60;70;35;65;80;65;50;65;70;70;60;60;55;40;35;70;80;40;70;40;
Granit Xhaka;3;34;55;40;60;75;85;50;10;5;10;15;10;50;55;75;60;75;60;60;80;90;65;90;75;65;50;50;60;60;45;80;70;65;50;55;
Calum Chambers;2;21;70;65;70;75;65;70;5;10;5;5;20;70;75;70;70;65;55;65;75;65;55;60;40;70;65;55;55;45;45;65;70;35;40;30;
Matt Macey;0;33;50;60;80;60;25;60;75;50;60;65;40;10;15;70;30;70;5;30;60;25;15;30;10;60;35;50;5;10;5;30;50;45;15;25;
Rúnar AlexRúnarsson;0;13;60;70;50;55;35;60;55;60;60;75;65;10;15;55;35;60;5;50;65;50;5;40;10;65;50;75;10;10;15;50;60;25;5;20;
Pierre- EmerickAubameyang;4;14;70;70;65;75;70;35;10;10;10;5;20;25;30;60;65;60;50;85;75;60;85;65;70;75;90;75;65;85;85;70;70;55;80;25;
Reiss Nelson;4;24;60;45;60;60;75;40;15;10;5;15;5;35;45;40;30;50;60;80;60;65;70;60;60;55;75;75;75;75;60;70;70;60;50;60;
Nicolas Pépé;4;19;65;45;50;55;75;30;5;15;5;15;15;20;20;50;40;40;60;80;65;55;80;55;70;60;90;90;85;90;65;65;60;70;75;65;
Dani Ceballos;3;8;65;60;60;70;80;60;15;15;5;5;15;40;60;50;35;75;55;65;70;80;70;75;65;70;75;75;75;65;60;80;75;55;50;40;
Sokratis Papastathopoulos;1;5;50;65;75;70;50;70;15;5;15;10;5;70;75;80;70;90;40;70;75;50;40;35;25;70;65;60;50;20;20;55;70;20;30;25;
David Luiz;1;23;55;45;70;70;65;65;10;15;10;10;15;70;80;70;80;85;45;60;70;70;60;60;60;80;60;60;65;70;60;65;80;65;65;30;
Shkodran Mustafi;1;20;45;50;60;75;60;70;15;10;10;5;15;70;80;75;80;85;55;70;75;65;50;55;20;70;70;65;55;30;45;60;80;15;25;20;
Bernd Leno;0;1;60;60;70;80;45;65;70;60;75;90;85;10;15;60;30;70;10;50;60;50;30;35;15;80;60;80;10;10;5;50;50;40;10;25;
